component,model,district,year,value
Drought,CHIRPS,Gert Sibande,2019,-0.26
Drought,CHIRPS,Ngaka Modiri Molema,2019,-0.14
Drought,CHIRPS,Sedibeng,2019,-0.25
Drought,CHIRPS,West Rand,2019,-0.26
Drought,CHIRPS,Ekurhuleni,2019,-0.25
Drought,CHIRPS,City of Johannesburg,2019,-0.25
Drought,CHIRPS,Nkangala,2019,-0.26
Drought,CHIRPS,Bojanala,2019,-0.23
Drought,CHIRPS,City of Tshwane,2019,-0.25
Drought,CHIRPS,Ehlanzeni,2019,-0.25
Drought,CHIRPS,Sekhukhune,2019,-0.24
Drought,CHIRPS,Waterberg,2019,-0.23
Drought,CHIRPS,Capricorn,2019,-0.24
Drought,CHIRPS,Mopani,2019,-0.24
Drought,CHIRPS,Vhembe,2019,-0.24
Drought,CHIRPS,Overberg,2020,-0.26
Drought,CHIRPS,Garden Route,2020,-0.2
Drought,CHIRPS,City of Cape Town,2020,-0.25
Drought,CHIRPS,Cacadu,2020,0.01
Drought,CHIRPS,Cape Winelands,2020,-0.09
Drought,CHIRPS,Nelson Mandela Bay,2020,0.19
Drought,CHIRPS,West Coast,2020,0.32
Drought,CHIRPS,Central Karoo,2020,0.14
Drought,CHIRPS,Amathole,2020,0.08
Drought,CHIRPS,Buffalo City,2020,0.3
Drought,CHIRPS,Namakwa,2020,0.23
Drought,CHIRPS,Chris Hani,2020,-0.04
Drought,CHIRPS,OR Tambo,2020,-0.12
Drought,CHIRPS,Pixley ka Seme,2020,0
Drought,CHIRPS,Joe Gqabi,2020,-0.21
Drought,CHIRPS,Alfred Nzo,2020,-0.24
Drought,CHIRPS,Ugu,2020,-0.23
Drought,CHIRPS,Xhariep,2020,-0.24
Drought,CHIRPS,Harry Gwala,2020,-0.23
Drought,CHIRPS,eThekwini,2020,-0.25
Drought,CHIRPS,uMgungundlovu,2020,-0.02
Drought,CHIRPS,ZF Mgcawu,2020,0
Drought,CHIRPS,iLembe,2020,-0.26
Drought,CHIRPS,Mangaung,2020,-0.25
Drought,CHIRPS,Thabo Mofutsanyane,2020,-0.25
Drought,CHIRPS,uThukela,2020,0.13
Drought,CHIRPS,uMzinyathi,2020,0.49
Drought,CHIRPS,King Cetshwayo,2020,-0.22
Drought,CHIRPS,Lejweleputswa,2020,-0.25
Drought,CHIRPS,Frances Baard,2020,-0.24
Drought,CHIRPS,Zululand,2020,-0.25
Drought,CHIRPS,uMkhanyakude,2020,-0.25
Drought,CHIRPS,Fezile Dabi,2020,-0.26
Drought,CHIRPS,Amajuba,2020,-0.13
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2020,-0.24
Drought,CHIRPS,John Taolo Gaetsewe,2020,-0.23
Drought,CHIRPS,Dr Kenneth Kaunda,2020,-0.25
Drought,CHIRPS,Gert Sibande,2020,-0.26
Drought,CHIRPS,Ngaka Modiri Molema,2020,-0.25
Drought,CHIRPS,Sedibeng,2020,-0.25
Drought,CHIRPS,West Rand,2020,-0.26
Drought,CHIRPS,Ekurhuleni,2020,-0.25
Drought,CHIRPS,City of Johannesburg,2020,-0.25
Drought,CHIRPS,Nkangala,2020,-0.25
Drought,CHIRPS,Bojanala,2020,-0.25
Drought,CHIRPS,City of Tshwane,2020,-0.25
Drought,CHIRPS,Ehlanzeni,2020,-0.24
Drought,CHIRPS,Sekhukhune,2020,-0.24
Drought,CHIRPS,Waterberg,2020,-0.24
Drought,CHIRPS,Capricorn,2020,-0.24
Drought,CHIRPS,Mopani,2020,-0.24
Drought,CHIRPS,Vhembe,2020,-0.24
Drought,CHIRPS,Overberg,2021,-0.26
Drought,CHIRPS,Garden Route,2021,-0.03
Drought,CHIRPS,City of Cape Town,2021,-0.25
Drought,CHIRPS,Cacadu,2021,2.54
Drought,CHIRPS,Cape Winelands,2021,-0.24
